,0
1093,23
1094,108
1095,329
1096,4
1097,20
1098,65
1099,36
1100,682
1101,166
1102,98
1103,566
1104,67
1105,225
1106,282
1107,41
1108,7
1109,50
1110,44
1111,50
1112,4
1113,112
1114,137
1115,26
1116,116
1117,77
1118,108
1119,145
1120,67
1121,22
1122,30
1123,12
1124,27
1125,42
1126,18
1127,7
1128,239
1129,51
1130,64
1131,67
1132,4
1133,47
1134,51
1135,152
1136,8
1137,27
1138,146
1139,7
1140,12
1141,22
1142,114
1143,7
1144,3
1145,179
1146,119
1147,142
1148,201
1149,20
1150,59
1151,57
1152,175
1153,299
1154,102
1155,5
1156,44
1157,4
1158,7
1159,64
1160,26
1161,3
1162,7
